%
% !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
%

@relation 'allfeatures.names'
@attribute ABSTR real
@attribute AFFC real
@attribute ABKD real
@attribute ACYC real
@attribute ADIH real
@attribute ALOCPM real
@attribute ANOCPT real
@attribute ANOFPT real
@attribute ANOMPT real
@attribute ANOPR real
@attribute ANSBT real
@attribute EFFC real
@attribute LOC real
@attribute NOC real
@attribute NOF real
@attribute NOM real
@attribute NOP real
@attribute NOPT real
@attribute NOPK real
@attribute NOT real
@attribute NOUOP real
@attribute NOUOPT real
@attribute PRL real
@attribute PRVOC real
@attribute PRV real
@attribute NDB real
@attribute WM real
@attribute InDeg real
@attribute OutDeg real
@attribute DegCtrl real
@attribute CBO real
@attribute RFC real
@attribute StatementCoverage real
@attribute MSIGCH real
@attribute MCARGCH real
@attribute AMCAL real
@attribute CHCOND real
@attribute AV real
@attribute AIF real
@attribute AL real
@attribute AM real
@attribute TPT real
@attribute TFT real
@attribute MATD real
@attribute MATSP real
@attribute class {A, B, C, D, E, F}
@data
13.5,0,1.17,2.02,3.23,10.41,1.17,1.99,9.88,0.95,0.71,1013,145515,1293,3163,10881,365348,166929,102,1101,13182,45,532277,13227,7287509.93,2429.17,24704,1,3,4,9,6,57.8,0,0,0,1,0,0,0,0,425,1,0.0738984469,0.9261015531,A
13.5,0,1.17,2.02,3.23,10.41,1.17,1.99,9.88,0.95,0.71,1013,145433,1293,3163,10878,365117,166811,102,1101,13177,45,531928,13222,7282441.56,2427.48,24694,1,4,5,10,8,74.5,0,0,0,1,0,0,0,0,347,2,0.0769327065,0.9230672935,A
13.5,0,1.17,2.03,3.23,10.42,1.17,1.99,9.86,0.95,0.7,1011,145171,1291,3158,10843,364358,166525,102,1099,13168,45,530883,13213,7267613.31,2422.54,24639,0,0,0,0,0,79.4,0,0,0,0,0,0,0,0,48,1,0.206200513,0.793799487,B
13,0,1.18,2.04,3.24,10.54,1.18,1.97,9.82,0.94,0.7,997,143368,1274,3083,10591,359006,163969,100,1078,13004,43,522975,13047,7149816.36,2383.27,24221,0,0,0,0,0,70.6,0,0,0,1,0,0,0,0,401,22,0.033957705,0.966042295,F
12.3,0,1.18,2.03,3.28,10.52,1.18,1.92,9.74,0.95,0.7,948,135306,1214,2915,9988,336249,153638,97,1025,12430,43,489887,12473,6665657.69,2221.89,22759,1,4,5,7,9,76.6,0,0,0,1,0,0,0,0,125,1,0.2529330573,0.7470669427,A
12.4,0,1.18,2.02,3.29,10.49,1.18,1.87,9.43,0.95,0.68,924,127985,1183,2790,9416,316388,144482,97,998,12002,43,460870,12045,6247621.36,2082.54,21442,2,1,3,17,8,93.1,0,0,0,0,0,0,1,0,477,2,0.1446624913,0.8553375087,A
12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.38,0.96,0.67,920,127011,1175,2788,9326,314040,143407,97,994,11954,43,457447,11997,6198583.45,2066.19,21303,1,4,5,10,11,88.6,0,1,0,0,0,0,0,0,14,1,0.237037037,0.762962963,A
12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.38,0.96,0.67,920,126997,1175,2788,9325,313986,143382,97,994,11952,43,457368,11995,6197402.96,2065.8,21302,0,0,0,0,0,48.8,0,1,0,0,0,0,0,0,22,1,0.1813664596,0.8186335404,A
12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.37,0.96,0.67,920,126951,1175,2788,9323,313811,143304,97,994,11947,43,457115,11990,6193699.82,2064.57,21299,0,0,0,0,0,75.7,0,0,0,1,0,0,0,0,31,1,0.1688070776,0.8311929224,B
12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.36,0.96,0.67,920,126863,1175,2788,9313,313466,143158,97,994,11930,43,456624,11973,6186112.29,2062.04,21288,0,0,0,0,0,100,0,0,0,0,0,0,0,0,425,1,0.1818181818,0.8181818182,A
12.5,0,1.18,2.03,3.28,10.51,1.17,1.89,9.39,0.96,0.67,917,126777,1169,2788,9306,313324,143099,95,991,11915,43,456423,11958,6182563.78,2060.85,21271,0,0,0,0,0,40.9,0,0,0,0,0,0,0,0,263,1,0.1017316017,0.8982683983,A
12.5,0,1.18,2.03,3.28,10.5,1.17,1.89,9.39,0.96,0.67,916,126617,1168,2788,9301,312658,142883,95,990,11901,43,455541,11944,6169846.59,2056.62,21265,2,8,10,11,11,32.1,0,0,0,0,0,0,0,0,196,1,0.0843506412,0.9156493588,A
