ProjectID, BugId, FaultNodeName, FaultNode_InDegree, FaultNode_OutDegree, FaultNodeDegreeCentrality, CBO, RFC, NoOfTestCasesExecuteFaultMethod, NoOfTestCasesPassesCoversFaultNode, NoOfTestCasesFailsCoversFaultNode, NoOfTestCasesExecutesDynamicCallGraph, InDegreeMethodCallsList, OutDegreeMethodCallsList
Chart, 1, org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1791, 1, 3, 4, 9, 6, 38, 37, 1, 43, org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests#397, org.jfree.chart.LegendItemCollection#68/org.jfree.chart.plot.CategoryPlot#1727/org.jfree.chart.plot.CategoryPlot#1320
Chart, 2, org.jfree.data.general.DatasetUtilities#742, 1, 4, 5, 10, 8, 16, 15, 1, 35, org.jfree.data.general.DatasetUtilities#726, org.jfree.data.xy.XYIntervalSeriesCollection#187/org.jfree.data.xy.XYIntervalSeriesCollection#147/org.jfree.data.xy.XYIntervalSeriesCollection#99/org.jfree.data.xy.XYIntervalSeriesCollection#173
Chart, 3, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 5, org.jfree.data.xy.XYSeries#541, 1, 4, 5, 7, 9, 4, 3, 1, 6, org.jfree.data.xy.XYSeries#527, org.jfree.data.xy.XYSeries#186/org.jfree.data.general.Series#313/org.jfree.data.xy.XYSeries#589/org.jfree.data.xy.XYDataItem#72
Chart, 6, org.jfree.chart.util.ShapeList#105, 2, 1, 3, 17, 8, 223, 221, 2, 224, org.jfree.chart.util.junit.ShapeListTests#130/org.jfree.chart.util.junit.ShapeListTests#85, org.jfree.chart.util.AbstractObjectList#178
Chart, 7, org.jfree.data.time.TimePeriodValues#259, 1, 4, 5, 10, 11, 13, 12, 1, 15, org.jfree.data.time.TimePeriodValues#243, org.jfree.data.time.TimePeriodValues#205/org.jfree.data.time.TimePeriodValue#97/org.jfree.data.time.SimpleTimePeriod#120/org.jfree.data.time.SimpleTimePeriod#100
Chart, 8, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 9, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 10, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 11, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 12, org.jfree.chart.plot.MultiplePiePlot#144, 2, 8, 10, 11, 11, 4, 3, 1, 5, org.jfree.chart.plot.junit.MultiplePiePlotTests#105/org.jfree.chart.plot.MultiplePiePlot#135, org.jfree.chart.plot.Plot#284/org.jfree.chart.JFreeChart#571/org.jfree.chart.JFreeChart#327/org.jfree.chart.JFreeChart#959/org.jfree.chart.title.TextTitle#187/org.jfree.chart.plot.PiePlot#504/org.jfree.chart.title.Title#216/org.jfree.chart.JFreeChart#664
Chart, 13, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 14, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 15, org.jfree.chart.plot.PiePlot#2049, 1, 4, 5, 16, 18, 3, 2, 1, 15, org.jfree.chart.plot.PiePlot3D#230, org.jfree.chart.plot.PiePlotState#89/org.jfree.chart.plot.PiePlotState#109/org.jfree.data.general.DatasetUtilities#152/org.jfree.chart.plot.PiePlot#551
Chart, 16, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 17, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 18, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 19, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 20, org.jfree.chart.plot.ValueMarker#95, 1, 1, 2, 3, 3, 95, 94, 1, 100, org.jfree.chart.plot.junit.ValueMarkerTests#290, org.jfree.chart.plot.Marker#175
Chart, 21, org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#147, 1, 8, 9, 13, 12, 11, 10, 1, 14, org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests#271, org.jfree.data.KeyedObjects2D#250/org.jfree.data.general.AbstractDataset#172/org.jfree.data.KeyedObjects2D#150/org.jfree.data.statistics.BoxAndWhiskerItem#223/org.jfree.data.Range#85/org.jfree.data.KeyedObjects2D#187/org.jfree.data.statistics.BoxAndWhiskerItem#214/org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740
Chart, 22, org.jfree.data.KeyedObjects2D#215, 2, 1, 3, 30, 16, 5, 3, 2, 54, org.jfree.data.junit.KeyedObjects2DTests#206/org.jfree.data.junit.KeyedObjects2DTests#256, org.jfree.data.KeyedObjects#169
Chart, 23, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
Chart, 24, Unknown, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
