 CBO, NoOfTestCasesExecuteFaultMethod, NoOfTestCasesPassesCoversFaultNode,Priority,AddsMethodCall, TotalPassTest, MatrixDensity, MatrixSparsity, ActiveMatrixDensity, MatrixDiversity, MatrixUniqueness, MatrixDDU, Class6
9,38,37,2,0,425,0.0738984469,0.9261015531,0.1477968937,0.9971057719,0.3226324238,0.0475460615,A
10,16,15,5,0,347,0.0769327065,0.9230672935,0.153865413,0.9877976485,0.3932038835,0.0597622298,A
0,0,0,0,0,48,0.206200513,0.793799487,0.412401026,0.9974489796,0.3387978142,0.1393641362,B
0,0,0,0,0,401,0.033957705,0.966042295,0.0679154101,0.9984202212,0.1950585176,0.0132265511,F
7,4,3,5,0,125,0.2529330573,0.7470669427,0.5058661146,0.9544126984,0.5942028986,0.2868841562,A
17,223,221,0,0,477,0.1446624913,0.8553375087,0.2893249826,0.9430298477,0.44,0.1200505215,A
10,13,12,0,0,14,0.237037037,0.762962963,0.4740740741,1,0.264957265,0.1256093701,A
0,0,0,0,0,22,0.1813664596,0.8186335404,0.3627329193,0.9130434783,0.4285714286,0.1419389684,A
0,0,0,2,0,31,0.1688070776,0.8311929224,0.3376141553,0.997983871,0.2648401826,0.0892335248,B
0,0,0,0,0,425,0.1818181818,0.8181818182,0.3636363636,1,0.1818181818,0.0661157025,A
0,0,0,2,0,263,0.1017316017,0.8982683983,0.2034632035,0.8824749395,0.5238095238,0.0940506171,A
11,4,3,0,0,196,0.0843506412,0.9156493588,0.1687012825,0.9862218999,0.1824062096,0.0303481796,A
0,0,0,0,0,136,0.219971494,0.780028506,0.4399429879,0.8900815801,0.2840236686,0.1112194508,B
0,0,0,0,0,486,0.0572328286,0.9427671714,0.1144656572,0.9852510329,0.2935483871,0.0331056259,C
16,3,2,0,0,196,0.0674812915,0.9325187085,0.1349625831,0.9987050658,0.1849942726,0.0249349739,A
0,0,0,2,0,13,0.1904761905,0.8095238095,0.380952381,0.9952380952,0.484375,0.1836451247,A
0,0,0,2,0,46,0.0989940354,0.9010059646,0.1979880709,0.9398704903,0.2510460251,0.0467154339,A
0,0,0,0,0,237,0.1765993343,0.8234006657,0.3531986686,0.9746887967,0.7142857143,0.2458991323,B
0,0,0,0,0,359,0.086723719,0.913276281,0.1734474381,0.9855801785,0.3030726257,0.0518091613,C
3,95,94,0,0,282,0.1136631331,0.8863368669,0.2273262662,0.9586998471,0.5784313725,0.1260619779,A
13,11,10,0,0,12,0.2599067599,0.7400932401,0.5198135198,1,0.2045454545,0.1063254927,A
30,5,3,0,0,31,0.3495085995,0.6504914005,0.699017199,0.9309309309,0.5454545455,0.3549473083,A
0,0,0,0,0,4,0.0976683938,0.9023316062,0.1953367876,1,0.0129533679,0.0025302693,A
0,0,0,0,0,9,0.4428571429,0.5571428571,0.8857142857,0.6666666667,0.8571428571,0.506122449,A
37,2,0,0,0,5,0.1756174525,0.8243825475,0.351234905,0.9722222222,0.007646095,0.0026109761,A
107,45,23,0,0,517,0.0320207574,0.9679792426,0.0640415148,0.9974481175,0.2182806008,0.0139433475,A
1,10,9,3,0,78,0.0098993833,0.9901006167,0.0197987666,0.9870172022,0.2136752137,0.0041755819,A
0,0,0,3,0,13,0.3071428571,0.6928571429,0.6142857143,0.8131868132,0.8,0.3996232339,A
1,9,8,2,0,77,0.0097523559,0.9902476441,0.0195047118,0.9873459873,0.2136752137,0.0041149357,A
0,0,0,3,0,29,0.4703703704,0.5296296296,0.9407407407,0.6965517241,0.8888888889,0.5824662977,A
0,0,0,3,0,12,0.3076923077,0.6923076923,0.6153846154,0.8461538462,0.8,0.4165680473,A
2,38,37,2,0,129,0.0092976589,0.9907023411,0.0185953177,0.9959451401,0.2739130435,0.0050728466,A
4,3,2,3,0,72,0.0074016792,0.9925983208,0.0148033584,0.9863013699,0.1975806452,0.0028847906,A
5,4,2,3,0,98,0.1847878788,0.8152121212,0.3695757576,0.9595959596,0.5515151515,0.1955912105,A
5,79,77,3,0,109,0.1686804452,0.8313195548,0.3373608903,0.9674037674,0.5470588235,0.1785404132,A
0,0,0,3,0,107,0.1698327037,0.8301672963,0.3396654074,0.9661909616,0.5470588235,0.1795346655,B
0,0,0,2,0,5,0.3472222222,0.6527777778,0.6944444444,1,0.5833333333,0.4050925926,A
0,0,0,5,0,3,0.35,0.65,0.7,1,0.5,0.35,A
0,0,0,3,0,34,0.2357142857,0.7642857143,0.4714285714,0.9260504202,0.8333333333,0.3638055222,A
0,0,0,3,0,282,0.0115295305,0.9884704695,0.0230590611,0.9703781671,0.9028571429,0.0202023399,A
3,3,2,3,0,8,0.037398374,0.962601626,0.074796748,0.9555555556,0.0379403794,0.0027116918,A
0,0,0,3,0,72,0.0071138809,0.9928861191,0.0142277618,0.9863013699,0.2103004292,0.0029511167,A
2,34,33,3,0,35,0.0282051282,0.9717948718,0.0564102564,0.9793650794,0.1423076923,0.0078619642,A
3,25,24,3,0,45,0.1597353497,0.8402646503,0.3194706994,0.8144927536,0.347826087,0.0905066329,B
0,0,0,2,0,20,0.4242424242,0.5757575758,0.8484848485,0.8311688312,0.7777777778,0.5485154576,A
0,2,1,3,0,233,0.0124822695,0.9875177305,0.024964539,0.9867612293,0.9212121212,0.0226931755,A
0,0,0,3,0,106,0.0655737705,0.9344262295,0.131147541,0.967730559,0.8360655738,0.1061096662,A
0,0,0,2,0,23,0.1870588235,0.8129411765,0.3741176471,1,0.7647058824,0.2860899654,A
0,0,0,3,0,7,0.1129807692,0.8870192308,0.2259615385,0.8571428571,0.0769230769,0.014898563,A
0,0,0,3,0,47,0.0086887836,0.9913112164,0.0173775671,1,0.2274881517,0.0039531906,A
0,0,0,3,0,4,0.4333333333,0.5666666667,0.8666666667,0.9,0.4166666667,0.325,A
0,31,30,3,0,44,0.200462963,0.799537037,0.4009259259,0.8050505051,0.4375,0.1412099584,A
4,3,2,3,0,47,0.0091594828,0.9908405172,0.0183189655,1,0.2112068966,0.0038690919,A
0,0,0,2,0,18,0.3918128655,0.6081871345,0.783625731,0.7894736842,0.7777777778,0.4811736945,A
0,0,0,3,0,212,0.0130042794,0.9869957206,0.0260085587,0.9858712021,0.6769911504,0.0173587904,A
3,4,2,0,0,366,0.005393026,0.994606974,0.010786052,0.9948085106,0.7944444444,0.0085244336,A
0,0,0,0,0,363,0.0053576865,0.9946423135,0.0107153729,0.9947312961,0.7944444444,0.0084679172,A
9,8,7,3,0,44,0.0251486054,0.9748513946,0.0502972108,0.9888888889,0.1275720165,0.006345222,A
0,0,0,3,0,82,0.0113900982,0.9886099018,0.0227801964,0.9465177784,0.1428571429,0.0030802658,A
10,111,84,3,0,125,0.1227978419,0.8772021581,0.2455956838,0.9902405019,0.4309623431,0.1048095217,A
0,0,0,3,0,228,0.0116531503,0.9883468497,0.0233063007,0.9821496974,0.8514285714,0.0194894351,A
5,1,0,2,0,48,0.0102283105,0.9897716895,0.020456621,0.9991836735,0.2237442922,0.0045733158,A
0,0,0,3,0,208,0.0116867404,0.9883132596,0.0233734807,0.9889124034,0.8505747126,0.0196604603,A
1,34,33,3,1,42,0.1584771193,0.8415228807,0.3169542386,0.7873754153,0.3387096774,0.0845290561,A
0,0,0,3,0,197,0.0135460566,0.9864539434,0.0270921132,0.9823616879,0.9271523179,0.0246754673,A
0,0,0,3,0,195,0.0136734694,0.9863265306,0.0273469388,0.9823652538,0.9266666667,0.0248946057,A
0,0,0,2,0,76,0.0715811966,0.9284188034,0.1431623932,0.9397269397,0.9166666667,0.1233224278,A
3,6,5,2,0,40,0.1103979461,0.8896020539,0.2207958922,0.9951219512,0.4631578947,0.1017645149,A
0,0,0,3,1,6,0.1536796537,0.8463203463,0.3073593074,0.8095238095,0.1363636364,0.0339292742,A
0,0,0,3,0,19,0.1026315789,0.8973684211,0.2052631579,1,0.9473684211,0.1944598338,A
