ProjectID, BugId, Abstractness (%), AfferentCouplings, AverageBlockDepth, AverageCyclomaticComplexity, AverageDepthofInheritanceHierarchy, AverageLinesOfCodePerMethod, AverageNumberofConstructorsPerType, AverageNumberofFieldsPerType, AverageNumberofMethodsPerType, AverageNumberofParameters, AverageNumberofSubtypes, EfferentCouplings, LinesofCode, NumberofConstructors, NumberofFields, NumberofLines, NumberofMethods, NumberofOperands, NumberofOperators, NumberofPackages, NumberofTypes, NumberofUniqueOperands, NumberofUniqueOperators, ProgramLength, ProgramVocabulary, ProgramVolume, Numberofdeliveredbugs, WeightedMethods,InDegree,OutDegree,DegreeCentrality, CBO, RFC, NoOfTestCasesExecuteFaultMethod, NoOfTestCasesPassesCoversFaultNode, NoOfTestCasesFailsCoversFaultNode, NoOfTestCasesExecutesDynamicCallGraph,StatementCoverage (%),FilesChangeCount,ClassesChangeCount,MethodsChangeCount,LinesChangeCount,LinesAdded,LinesRemoved,LinesModified,RelevantTestCount,FailingTestCount,Priority,ChangesMethodSignature,ChangesMethodCallArgs,AddsMethodCall,ChangesCondition,AddsVariable,AddsIfStmt,AddsLoop,AddsMethod, TotalPassTest, TotalFailTest, MatrixDensity, MatrixSparsity, ActiveMatrixDensity, MatrixDiversity, MatrixUniqueness, MatrixDDU, Class6
Chart,1, 13.5,0,1.17,2.02,3.23,10.41,1.17,1.99,9.88,0.95,0.71,1013,145515,1293,3163,320829,10881,365348,166929,102,1101,13182,45,532277,13227,7287509.93,2429.17,24704,1,3,4,9,6,38,37,1,43,57.8,1,1,1,1,0,0,1,436,1,2,0,0,0,1,0,0,0,0,425,1,0.0738984469,0.9261015531,0.1477968937,0.9971057719,0.3226324238,0.0475460615,A
Chart,2, 13.5,0,1.17,2.02,3.23,10.41,1.17,1.99,9.88,0.95,0.71,1013,145433,1293,3163,320720,10878,365117,166811,102,1101,13177,45,531928,13222,7282441.56,2427.48,24694,1,4,5,10,8,16,15,1,35,74.5,1,1,2,14,14,0,0,555,2,5,0,0,0,1,0,0,0,0,347,2,0.0769327065,0.9230672935,0.153865413,0.9877976485,0.3932038835,0.0597622298,A
Chart,3, 13.5,0,1.17,2.03,3.23,10.42,1.17,1.99,9.86,0.95,0.7,1011,145171,1291,3158,320018,10843,364358,166525,102,1099,13168,45,530883,13213,7267613.31,2422.54,24639,0,0,0,0,0,0,0,0,0,79.4,1,1,1,2,2,0,0,86,1,0,0,0,0,0,0,0,0,0,48,1,0.206200513,0.793799487,0.412401026,0.9974489796,0.3387978142,0.1393641362,B
Chart,4, 13,0,1.18,2.04,3.24,10.54,1.18,1.97,9.82,0.94,0.7,997,143368,1274,3083,315585,10591,359006,163969,100,1078,13004,43,522975,13047,7149816.36,2383.27,24221,0,0,0,0,0,0,0,0,0,70.6,1,1,1,2,2,0,0,431,22,0,0,0,0,1,0,0,0,0,401,22,0.033957705,0.966042295,0.0679154101,0.9984202212,0.1950585176,0.0132265511,F
Chart,5, 12.3,0,1.18,2.03,3.28,10.52,1.18,1.92,9.74,0.95,0.7,948,135306,1214,2915,297708,9988,336249,153638,97,1025,12430,43,489887,12473,6665657.69,2221.89,22759,1,4,5,7,9,4,3,1,6,76.6,1,1,1,5,4,0,1,292,1,5,0,0,0,1,0,0,0,0,125,1,0.2529330573,0.7470669427,0.5058661146,0.9544126984,0.5942028986,0.2868841562,A
Chart,6, 12.4,0,1.18,2.02,3.29,10.49,1.18,1.87,9.43,0.95,0.68,924,127985,1183,2790,282940,9416,316388,144482,97,998,12002,43,460870,12045,6247621.36,2082.54,21442,2,1,3,17,8,223,221,2,224,93.1,1,1,1,8,7,0,1,486,2,0,0,0,0,0,0,0,1,0,477,2,0.1446624913,0.8553375087,0.2893249826,0.9430298477,0.44,0.1200505215,A
Chart,7, 12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.38,0.96,0.67,920,127011,1175,2788,281094,9326,314040,143407,97,994,11954,43,457447,11997,6198583.45,2066.19,21303,1,4,5,10,11,13,12,1,15,88.6,1,1,1,2,0,0,2,16,1,0,0,1,0,0,0,0,0,0,14,1,0.237037037,0.762962963,0.4740740741,1,0.264957265,0.1256093701,A
Chart,8, 12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.38,0.96,0.67,920,126997,1175,2788,281084,9325,313986,143382,97,994,11952,43,457368,11995,6197402.96,2065.8,21302,0,0,0,0,0,0,0,0,0,48.8,1,1,1,1,0,0,1,23,1,0,0,1,0,0,0,0,0,0,22,1,0.1813664596,0.8186335404,0.3627329193,0.9130434783,0.4285714286,0.1419389684,A
Chart,9, 12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.37,0.96,0.67,920,126951,1175,2788,281064,9323,313811,143304,97,994,11947,43,457115,11990,6193699.82,2064.57,21299,0,0,0,0,0,0,0,0,0,75.7,1,1,1,1,0,0,1,64,1,2,0,0,0,1,0,0,0,0,31,1,0.1688070776,0.8311929224,0.3376141553,0.997983871,0.2648401826,0.0892335248,B
Chart,10, 12.4,0,1.18,2.02,3.28,10.5,1.18,1.88,9.36,0.96,0.67,920,126863,1175,2788,280883,9313,313466,143158,97,994,11930,43,456624,11973,6186112.29,2062.04,21288,0,0,0,0,0,0,0,0,0,100,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,425,1,0.1818181818,0.8181818182,0.3636363636,1,0.1818181818,0.0661157025,A
