Method_Call_No,Suspiciousness,Ranking
1,0.0,11
2,0.0,11
3,0.0,11
4,0.0,11
5,0.0,11
6,0.0,11
7,0.0,11
8,0.0,11
9,0.14285714285714285,3
10,0.14285714285714285,3
11,1.0,1
12,0.047619047619047616,5
13,0.047619047619047616,5
14,0.02857142857142857,9
15,0.02857142857142857,9
16,0.0,11
17,0.0,11
18,0.0,11
19,0.0,11
20,0.041666666666666664,7
21,0.0,11
22,0.0,11
23,0.0,11
24,0.16666666666666666,2
25,0.041666666666666664,7
26,0.0,11
27,0.0,11
28,0.0,11
29,0.0,11
30,0.0,11
31,0.0,11
32,0.0,11
33,0.0,11
34,0.0,11
35,0.0,11
36,0.0,11
37,0.0,11
38,0.0,11
39,0.0,11
40,0.043478260869565216,6
41,0.043478260869565216,6
42,0.043478260869565216,6
43,0.043478260869565216,6
44,0.0,11
45,0.0,11
46,0.03333333333333333,8
47,0.0,11
48,0.0,11
49,0.0,11
50,0.0,11
51,0.02702702702702703,10
52,0.0,11
53,0.0,11
54,0.0,11
55,0.0,11
56,0.0,11
57,0.0,11
58,0.0,11
59,0.041666666666666664,7
60,0.0,11
61,0.0,11
62,0.125,4
63,0.125,4
64,1.0,1
65,0.0,11
66,0.0,11
67,0.0,11
68,0.0,11
69,0.0,11
70,0.0,11
71,0.0,11
72,0.0,11
73,0.0,11
74,0.0,11
75,0.0,11
76,0.0,11
77,0.0,11
78,0.0,11
79,0.0,11
80,0.0,11
81,0.0,11
82,0.0,11
83,0.0,11
84,0.0,11
85,0.0,11
86,0.0,11
87,0.0,11
88,0.0,11
89,0.0,11
90,0.0,11
91,0.0,11
92,0.0,11
93,0.0,11
94,0.0,11
95,0.0,11
96,0.0,11
