Method_Call_No,Suspiciousness,Ranking
1,0.0,13
2,0.0,13
3,0.0,13
4,0.0,13
5,0.0,13
6,0.0,13
7,0.25,4
8,0.0,13
9,0.0,13
10,0.0,13
11,0.0,13
12,0.0,13
13,0.0,13
14,0.0,13
15,0.25,4
16,0.0,13
17,0.16666666666666666,5
18,0.08333333333333333,9
19,0.0,13
20,0.0,13
21,0.0,13
22,0.0,13
23,0.0,13
24,0.0,13
25,0.0,13
26,0.0,13
27,0.0,13
28,0.0,13
29,0.0,13
30,1.0,1
31,0.0,13
32,0.0,13
33,0.0,13
34,0.08333333333333333,9
35,0.0,13
36,0.0,13
37,0.0,13
38,0.125,7
39,0.0,13
40,0.0,13
41,0.0,13
42,0.0,13
43,0.0,13
44,0.0,13
45,0.0,13
46,0.0,13
47,0.0,13
48,0.0,13
49,0.0,13
50,0.0,13
51,0.0,13
52,0.16666666666666666,5
53,0.0,13
54,0.0,13
55,0.0,13
56,0.0,13
57,0.0,13
58,0.0,13
59,0.0,13
60,0.0,13
61,0.0,13
62,0.0,13
63,0.0,13
64,0.0,13
65,0.0,13
66,0.029411764705882353,12
67,0.0,13
68,0.5,2
69,0.1111111111111111,8
70,0.0,13
71,0.0,13
72,0.0,13
73,0.0,13
74,0.0,13
75,0.0,13
76,0.0,13
77,0.0,13
78,0.0,13
79,0.0,13
80,0.0,13
81,0.0,13
82,0.0,13
83,0.0,13
84,0.0,13
85,0.0,13
86,0.0,13
87,0.0,13
88,0.0,13
89,0.0,13
90,0.0,13
91,0.0,13
92,0.0,13
93,0.0,13
94,0.0,13
95,0.0,13
96,0.0,13
97,0.0,13
98,0.0,13
99,0.0,13
100,0.0,13
101,0.0,13
102,0.0,13
103,0.0,13
104,0.0,13
105,0.0,13
106,0.0,13
107,0.0,13
108,0.0,13
109,0.0,13
110,0.0,13
111,0.0,13
112,0.0,13
113,0.0,13
114,0.0,13
115,0.0,13
116,0.0,13
117,0.0,13
118,0.0,13
119,0.0,13
120,0.0,13
121,0.0,13
122,0.0,13
123,0.0,13
124,0.0,13
125,0.0,13
126,0.0,13
127,0.0,13
128,0.0,13
129,0.0,13
130,0.0,13
131,0.0,13
132,0.0,13
133,0.0,13
134,0.0,13
135,0.0,13
136,0.0,13
137,0.0,13
138,0.0,13
139,0.0,13
140,0.0,13
141,0.0,13
142,0.0,13
143,0.0,13
144,0.0,13
145,0.0,13
146,0.0,13
147,0.0,13
148,0.0,13
149,0.0,13
150,0.0,13
151,0.0,13
152,0.0,13
153,0.0,13
154,0.0,13
155,0.0,13
156,0.0,13
157,0.0,13
158,0.0,13
159,0.0,13
160,0.0,13
161,0.0,13
162,0.0,13
163,0.0,13
164,0.0,13
165,0.0,13
166,0.0,13
167,0.0,13
168,0.0,13
169,0.0,13
170,0.0,13
171,0.0,13
172,0.0,13
173,0.0,13
174,0.0,13
175,0.0,13
176,0.0,13
177,0.0,13
178,0.0,13
179,0.0,13
180,0.0,13
181,0.0,13
182,0.0,13
183,0.0,13
184,0.0,13
185,0.0,13
186,0.0,13
187,0.0,13
188,0.0,13
189,0.0,13
190,0.0,13
191,0.0,13
192,0.0,13
193,0.0,13
194,0.0,13
195,0.0,13
196,0.0,13
197,0.0,13
198,0.0,13
199,0.0,13
200,0.0,13
201,0.0,13
202,0.0,13
203,0.0,13
204,0.0,13
