Method_Call_No,Suspiciousness,Ranking
1,0.0,213
2,0.0,213
3,0.003289473684210526,169
4,0.0,213
5,0.0,213
6,0.0,213
7,0.0,213
8,0.0,213
9,0.0,213
10,0.0,213
11,0.004608294930875576,148
12,0.0,213
13,0.0,213
14,0.0,213
15,0.0,213
16,0.0,213
17,0.0,213
18,0.0,213
19,0.0,213
20,0.0,213
21,0.0,213
22,0.0,213
23,0.0,213
24,0.0,213
25,0.0,213
26,0.0,213
27,0.0,213
28,0.0,213
29,0.0,213
30,0.0,213
31,0.0,213
32,0.0,213
33,0.0,213
34,0.001941747572815534,188
35,0.0,213
36,0.0,213
37,0.0,213
38,0.0,213
39,0.0,213
40,0.0,213
41,0.0,213
42,0.0,213
43,0.0,213
44,0.006802721088435374,132
45,0.04326923076923077,49
46,0.0,213
47,0.0,213
48,0.0,213
49,0.0,213
50,0.0,213
51,0.0,213
52,0.0,213
53,0.0,213
54,0.0,213
55,0.0,213
56,0.0,213
57,0.0045045045045045045,152
58,0.0,213
59,0.0,213
60,0.0,213
61,0.0,213
62,0.0,213
63,0.0047169811320754715,143
64,0.0,213
65,0.0,213
66,0.0,213
67,0.0,213
68,0.0,213
69,0.0,213
70,0.0,213
71,0.0,213
72,0.0,213
73,0.0,213
74,0.0,213
75,0.0,213
76,0.0,213
77,0.0,213
78,0.0,213
79,0.0,213
80,0.0,213
81,0.0,213
82,0.0,213
83,0.0,213
84,0.0,213
85,0.0,213
86,0.0,213
87,0.0,213
88,0.0,213
89,0.0,213
90,0.0,213
91,0.0,213
92,0.0,213
93,0.0,213
94,0.0,213
95,0.0,213
96,0.0,213
97,0.0,213
98,0.0,213
99,0.0,213
100,0.0,213
101,0.0,213
102,0.0,213
103,0.0,213
104,0.0,213
105,0.0,213
106,0.0,213
107,0.004629629629629629,147
108,0.0,213
109,0.05543237250554324,45
110,0.027114967462039046,65
111,0.0,213
112,0.0,213
113,0.0,213
114,0.0,213
115,0.0,213
116,0.0,213
117,0.0,213
118,0.0,213
119,0.0,213
120,0.0,213
121,0.0,213
122,0.0,213
123,0.0,213
124,0.0,213
125,0.0,213
126,0.0,213
127,0.0,213
128,0.0,213
129,0.0,213
130,0.0,213
131,0.0,213
132,0.0,213
133,0.0,213
134,0.0,213
135,0.0,213
136,0.0,213
137,0.0,213
138,0.0,213
139,0.0,213
140,0.0,213
141,0.0,213
142,0.0,213
143,0.0,213
144,0.0,213
145,0.0,213
146,0.0,213
147,0.0,213
148,0.0,213
149,0.0,213
150,0.0,213
151,0.0,213
